method,corruption,online_updates,prior_mass,trials,exploitability_mean,exploitability_stderr,exploitability_p90,paired_improvement_mean,paired_improvement_stderr,paired_win_rate
plus,0.75,64,1.0,100,0.30284500723463,0.0044346845089993404,0.3615033759650928,-0.004366417340430509,0.004869722150367602,0.49
plus,0.75,64,4.0,100,0.294581191339079,0.0038287094409407323,0.3423608037497024,0.0038973985551204672,0.004902512021219081,0.54
plus,0.75,64,16.0,100,0.2920182827585222,0.003454436156759446,0.33257464218091015,0.006460307135677256,0.005002406387548283,0.54
plus,0.75,64,64.0,100,0.29255139850572065,0.002358050375469392,0.32432422887886014,0.005927191388478776,0.004225619371670591,0.6
plus,0.75,64,256.0,100,0.3072746672580797,0.0010527997693919584,0.3198669221484197,-0.008796077363880286,0.004306925838239095,0.34
plus,0.75,64,1024.0,100,0.32445829134517207,0.0003715479388127293,0.3284404476391372,-0.025979701450972573,0.0043613363182939706,0.23
plus,0.75,64,4096.0,100,0.3344383731346073,5.4973037586397486e-5,0.3351560248655235,-0.035959783240407786,0.0043337282497094174,0.17
plus,1.0,4,0.0,100,0.6129240233035437,0.010705417380532545,0.74515913336781,0.0,0.0,0.0
plus,1.0,4,1.0,100,0.5314696694524831,0.004738463726757686,0.5952592224974105,0.08145435385106062,0.012164644439229442,0.74
plus,1.0,4,4.0,100,0.4966543255951372,0.0028100352201154864,0.53323301778422,0.11626969770840652,0.011321336869398532,0.81
plus,1.0,4,16.0,100,0.4878869641248486,0.001293095021480619,0.5015878951816548,0.12503705917869512,0.010854618305642001,0.86
plus,1.0,4,64.0,100,0.4785753464539158,0.0002833678844870195,0.4818662285481105,0.134348676849628,0.010753007583223456,0.87
plus,1.0,4,256.0,100,0.477801438988765,5.157029711150791e-5,0.4784987311499886,0.13512258431477875,0.010709455817786083,0.88
plus,1.0,4,1024.0,100,0.4768678588418202,1.032319638893487e-5,0.4769998331588867,0.13605616446172347,0.010705493813767255,0.88
plus,1.0,4,4096.0,100,0.47652543600504993,2.3518491580957028e-6,0.4765536911139,0.13639858729849388,0.01070547046232027,0.88
plus,1.0,16,0.0,100,0.41695571663767184,0.005085924557657945,0.48390860829500215,0.0,0.0,0.0
plus,1.0,16,1.0,100,0.4235757507080049,0.004348111184438136,0.48520116988235884,-0.006620034070333061,0.006558078372328293,0.46
plus,1.0,16,4.0,100,0.42695272244251486,0.0039771070117173585,0.4744334885159865,-0.009997005804843077,0.006208579320547442,0.48
plus,1.0,16,16.0,100,0.42699339230394856,0.002856949135537074,0.46318903559530167,-0.010037675666276804,0.005499771375558601,0.44
plus,1.0,16,64.0,100,0.44012941095772823,0.0009117103142279077,0.45144837900672424,-0.023173694320056417,0.005005743600754811,0.33
plus,1.0,16,256.0,100,0.469065560223213,0.00033717601709321867,0.47254177480693316,-0.052109843585541105,0.005015144815808102,0.18
plus,1.0,16,1024.0,100,0.4764229153063447,5.587653745324175e-5,0.4769585339795382,-0.05946719866867292,0.0050711982156962186,0.14
plus,1.0,16,4096.0,100,0.4766773241159111,1.1734809238740882e-5,0.4768531534238231,-0.05972160747823937,0.005084135286904981,0.14
plus,1.0,64,0.0,100,0.2984785898941994,0.004343354890838359,0.3564300363601864,0.0,0.0,0.0
plus,1.0,64,1.0,100,0.3002951634395583,0.004083243558550212,0.3462546269062915,-0.001816573545358875,0.005440332933341392,0.46
plus,1.0,64,4.0,100,0.30152042923125594,0.0036525593006595724,0.3491877871401891,-0.0030418393370564363,0.004769489323628244,0.54
plus,1.0,64,16.0,100,0.3210433418268797,0.0035203560730685166,0.3620724312212453,-0.022564751932680264,0.005447026217351283,0.33
plus,1.0,64,64.0,100,0.35480820780349054,0.002726942740597958,0.38833682418215604,-0.05632961790929111,0.005277420339189666,0.12
plus,1.0,64,256.0,100,0.4049032773210732,0.0010788217925113736,0.4196637413215652,-0.10642468742687361,0.004552266742347658,0.01
plus,1.0,64,1024.0,100,0.4588708124479771,0.0004050533591819478,0.46332532737336996,-0.16039222255377758,0.004441909275389427,0.0
plus,1.0,64,4096.0,100,0.474351822913303,6.40980137375123e-5,0.47522628223407004,-0.1758732330191035,0.004335677883826005,0.0
