method,online_updates,prior_mass,trial,seed,p1_value_vs_br_p2,br_p1_value_vs_p2,exploitability,root_p1_action_1,root_p1_action_2,root_p1_action_3,root_p2_action_1,root_p2_action_2,root_p2_action_3
vanilla,16,16.0,31,20420745,-0.21638340661051655,-0.014459501926316922,0.20192390468419963,0.998779296875,0.0006103515625,0.0006103515625,0.9991087107652498,4.964835258285056e-5,0.0008416408821674538
vanilla,16,64.0,31,20420745,-0.18287598787359738,-0.09183351571692769,0.09104247215666969,0.998046875,0.0009765625,0.0009765625,0.9985739372243996,7.94373641325609e-5,0.0013466254114679263
vanilla,16,256.0,31,20420745,-0.14613442680311603,-0.11575652975320615,0.030377897049909883,0.9977022058823529,0.0011488970588235295,0.0011488970588235295,0.998322279087529,9.345572250889518e-5,0.0015842651899622663
vanilla,16,1024.0,31,20420745,-0.14311632266094768,-0.12470709470608954,0.018409227954858137,0.9975961538461539,0.001201923076923077,0.001201923076923077,0.9982448458146457,9.776906354776726e-5,0.0016573851218066784
vanilla,16,4096.0,31,20420745,-0.14398908104522828,-0.12608692249130152,0.017902158553926767,0.997568093385214,0.0012159533073929961,0.0012159533073929961,0.9982243576334937,9.891033666311085e-5,0.0016767320298433322
vanilla,16,0.0,32,20420746,-0.4446291310073626,0.01229238679456601,0.45692151780192863,0.31918223728033057,0.4488904285726014,0.23192733414706798,0.9583333333333333,0.020833333333333332,0.020833333333333332
vanilla,16,1.0,32,20420746,-0.3190588385467439,0.0760485195892755,0.3951073581360194,0.8425512497982082,0.1573769441356155,7.180606617647059e-5,0.9998951424429705,5.840982656805947e-6,9.901657437264161e-5
vanilla,16,4.0,32,20420746,-0.3133133827338345,0.10613808827825968,0.41945147101209423,0.99951171875,0.000244140625,0.000244140625,0.9996434843060997,1.985934103314022e-5,0.0003366563528669814
vanilla,16,16.0,32,20420746,-0.22581899635806102,0.01221497305194867,0.23803396941000968,0.998779296875,0.0006103515625,0.0006103515625,0.9991087107652498,4.964835258285056e-5,0.0008416408821674538
vanilla,16,64.0,32,20420746,-0.17646092306086575,-0.09031187544873222,0.08614904761213353,0.998046875,0.0009765625,0.0009765625,0.9985739372243996,7.94373641325609e-5,0.0013466254114679263
vanilla,16,256.0,32,20420746,-0.14430139499993577,-0.11402060756695907,0.0302807874329767,0.9977022058823529,0.0011488970588235295,0.0011488970588235295,0.998322279087529,9.345572250889518e-5,0.0015842651899622663
vanilla,16,1024.0,32,20420746,-0.14319088051990023,-0.12438901193972175,0.018801868580178474,0.9975961538461539,0.001201923076923077,0.001201923076923077,0.9982448458146457,9.776906354776726e-5,0.0016573851218066784
vanilla,16,4096.0,32,20420746,-0.14389314038101855,-0.1261551631354488,0.017737977245569747,0.997568093385214,0.0012159533073929961,0.0012159533073929961,0.9982243576334937,9.891033666311085e-5,0.0016767320298433322
vanilla,16,0.0,33,20420747,-0.3648269600402709,0.20552894039425726,0.5703559004345281,0.8378512901183326,0.020833333333333332,0.14131537654833404,0.3019058061857509,0.4723121035600922,0.2257820902541569
vanilla,16,1.0,33,20420747,-0.2601241804395877,0.00037207485154544355,0.2604962552911331,0.9998563878676471,7.180606617647059e-5,7.180606617647059e-5,0.9998951424429705,5.840982656805947e-6,9.901657437264161e-5
vanilla,16,4.0,33,20420747,-0.291448112691886,0.0873103781058871,0.3787584907977731,0.99951171875,0.000244140625,0.000244140625,0.9996434843060997,1.985934103314022e-5,0.0003366563528669814
vanilla,16,16.0,33,20420747,-0.2288085270530904,0.013556433761790084,0.2423649608148805,0.998779296875,0.0006103515625,0.0006103515625,0.9991087107652498,4.964835258285056e-5,0.0008416408821674538
vanilla,16,64.0,33,20420747,-0.1691389091555791,-0.09056003901445399,0.07857887014112512,0.998046875,0.0009765625,0.0009765625,0.9985739372243996,7.94373641325609e-5,0.0013466254114679263
vanilla,16,256.0,33,20420747,-0.14752969958990744,-0.11693417563393836,0.03059552395596908,0.9977022058823529,0.0011488970588235295,0.0011488970588235295,0.998322279087529,9.345572250889518e-5,0.0015842651899622663
vanilla,16,1024.0,33,20420747,-0.1429516609678039,-0.12401269943819772,0.018938961529606183,0.9975961538461539,0.001201923076923077,0.001201923076923077,0.9982448458146457,9.776906354776726e-5,0.0016573851218066784
vanilla,16,4096.0,33,20420747,-0.14381429150958885,-0.12600370857013085,0.017810582939458003,0.997568093385214,0.0012159533073929961,0.0012159533073929961,0.9982243576334937,9.891033666311085e-5,0.0016767320298433322
vanilla,16,0.0,34,20420748,-0.3009923391407639,0.1643891012984343,0.46538144043919816,0.785174971033411,0.04166666666666667,0.17315836229992237,0.22276222168247284,0.023541567103284554,0.7536962112142427
vanilla,16,1.0,34,20420748,-0.3067472890587041,0.023645777582684775,0.33039306664138884,0.7848871707362927,0.2150410231975309,7.180606617647059e-5,0.9998951424429705,5.840982656805947e-6,9.901657437264161e-5
vanilla,16,4.0,34,20420748,-0.29584764135505404,0.010976552291282849,0.3068241936463369,0.99951171875,0.000244140625,0.000244140625,0.9996434843060997,1.985934103314022e-5,0.0003366563528669814
vanilla,16,16.0,34,20420748,-0.24653313717146424,0.06596998915831266,0.3125031263297769,0.998779296875,0.0006103515625,0.0006103515625,0.9991087107652498,4.964835258285056e-5,0.0008416408821674538
vanilla,16,64.0,34,20420748,-0.1935349252613502,-0.07868582443180333,0.11484910082954686,0.998046875,0.0009765625,0.0009765625,0.9985739372243996,7.94373641325609e-5,0.0013466254114679263
vanilla,16,256.0,34,20420748,-0.14655357561145554,-0.1150745051316791,0.03147907047977644,0.9977022058823529,0.0011488970588235295,0.0011488970588235295,0.998322279087529,9.345572250889518e-5,0.0015842651899622663
vanilla,16,1024.0,34,20420748,-0.1431256492483715,-0.1244410698140825,0.018684579434289014,0.9975961538461539,0.001201923076923077,0.001201923076923077,0.9982448458146457,9.776906354776726e-5,0.0016573851218066784
vanilla,16,4096.0,34,20420748,-0.14389638855944628,-0.12614678840022203,0.01774960015922425,0.997568093385214,0.0012159533073929961,0.0012159533073929961,0.9982243576334937,9.891033666311085e-5,0.0016767320298433322
vanilla,16,0.0,35,20420749,-0.3698139045383737,0.09091361553956763,0.4607275200779413,0.5173508988440214,0.020833333333333332,0.46181576782264516,0.8224692605384362,0.020833333333333332,0.15669740612823047
vanilla,16,1.0,35,20420749,-0.35037952431391717,0.06190163371882233,0.4122811580327395,0.9998563878676471,7.180606617647059e-5,7.180606617647059e-5,0.9998951424429705,5.840982656805947e-6,9.901657437264161e-5
vanilla,16,4.0,35,20420749,-0.26981591601687593,0.023715693159280016,0.29353160917615595,0.99951171875,0.000244140625,0.000244140625,0.9996434843060997,1.985934103314022e-5,0.0003366563528669814
vanilla,16,16.0,35,20420749,-0.29007931843668594,-0.007462325655895037,0.2826169927807909,0.998779296875,0.0006103515625,0.0006103515625,0.9991087107652498,4.964835258285056e-5,0.0008416408821674538
vanilla,16,64.0,35,20420749,-0.1792167765569291,-0.07627585741487952,0.10294091914204959,0.998046875,0.0009765625,0.0009765625,0.9985739372243996,7.94373641325609e-5,0.0013466254114679263
vanilla,16,256.0,35,20420749,-0.14461494703350827,-0.114769293005284,0.02984565402822427,0.9977022058823529,0.0011488970588235295,0.0011488970588235295,0.998322279087529,9.345572250889518e-5,0.0015842651899622663
vanilla,16,1024.0,35,20420749,-0.14202457946867098,-0.1244212514336082,0.017603328035062774,0.9975961538461539,0.001201923076923077,0.001201923076923077,0.9982448458146457,9.776906354776726e-5,0.0016573851218066784
vanilla,16,4096.0,35,20420749,-0.1438335515080103,-0.1261262409354592,0.017707310572551094,0.997568093385214,0.0012159533073929961,0.0012159533073929961,0.9982243576334937,9.891033666311085e-5,0.0016767320298433322
vanilla,16,0.0,36,20420750,-0.3227821340662189,0.06984451124180462,0.39262664530802355,0.18437875571711898,0.28475572047158026,0.5308655238113008,0.8789945045217435,0.020833333333333332,0.10017216214492312
vanilla,16,1.0,36,20420750,-0.3029470297394903,0.04342685109739179,0.3463738808368821,0.9998563878676471,7.180606617647059e-5,7.180606617647059e-5,0.9998951424429705,5.840982656805947e-6,9.901657437264161e-5
vanilla,16,4.0,36,20420750,-0.30585389482771536,0.04225285966216463,0.34810675448988,0.99951171875,0.000244140625,0.000244140625,0.9996434843060997,1.985934103314022e-5,0.0003366563528669814
vanilla,16,16.0,36,20420750,-0.27174986284687963,0.05545402583223053,0.32720388867911016,0.998779296875,0.0006103515625,0.0006103515625,0.9991087107652498,4.964835258285056e-5,0.0008416408821674538
vanilla,16,64.0,36,20420750,-0.16624177629171166,-0.08261827941864364,0.08362349687306803,0.998046875,0.0009765625,0.0009765625,0.9985739372243996,7.94373641325609e-5,0.0013466254114679263
vanilla,16,256.0,36,20420750,-0.14403089858240906,-0.1159043748803425,0.028126523702066558,0.9977022058823529,0.0011488970588235295,0.0011488970588235295,0.998322279087529,9.345572250889518e-5,0.0015842651899622663
